Permit,Site / Facility,City,Owner / Operator,Date Issued,Primary SIC/NAICS code,Seconday SIC/NAICS code,GPS Latitude,GPS Longitude,Facility Physical Address,Facility Physical Description,Borough (or similar governemtn subdivision),Phone number,email address
AKR06AA99,Central Transfer Station,Anchorage,Municipality of Anchorage Solid Waste Se,30-Jun-15,,,,,,,,,
AKR06AA57,Aniak Airport,Aniak,DOT&amp;PF,30-Jun-15,,,,,,,,,
AKR06AA92,Donlin Creek Project,Crooked Creek,Donlin Gold LLC,29-Jun-15,,,,,,,,,
AKR06AA95,Juneau International Airport_3,Juneau,Delta Global Services,29-Jun-15,,,,,,,,,
AKR06AA91,Qanirtuuq Gravel Company,Quinhagak,Qanirtuuq Inc,29-Jun-15,,,,,,,,,
AKR06AA83,Pet Rock Farm Earth Products,Palmer,Pet Rock Farm Earth Products,18-Jun-15,,,,,,,,,
AKR06AA74,Dillingham Airport,Dillingham,ADOT&amp;PF,16-Jun-15,,,,,,,,,
AKR06AA70,Central Peninsula Landfill_1,Soldotna,Kenai Peninsula Borough,11-Jun-15,,,,,,,,,
AKR06AA59,Petro Star Valdez Refinery MSGP,Valdez,Petro Star Inc,4-Jun-15,,,,,,,,,
AKR06AA60,AES HCC Deadhorse Facility,Deadhorse,"AES - Houston Contracting Company, Inc.",3-Jun-15,,,,,,,,,
AKR06AA55,Bethel Airport,Bethel,Alaska DOT &amp; PF,1-Jun-15,,,,,,,,,
AKR06AA54,Homer Airport,Homer,Alaska Department of Transportation and ,1-Jun-15,,,,,,,,,
AKR06AA53,Skagway Bulk Plant,Skagway,Petro Marine Services,27-May-15,,,,,,,,,
AKR06AA52,"PRT OF NOME, THORNBUSH SUB, MATERIAL DISPOSAL SITE",Nome,City of Nome,26-May-15,,,,,,,,,
AKR06AA29,Kenai Gas Field Pad 14-6,Kenai,Hilcorp Alaska LLC,22-May-15,,,,,,,,,
AKR06AA50,Coeur Alaska - Kensington Gold Mine,Juneau,Coeur Alaska Inc,22-May-15,,,,,,,,,
AKR06AA39,Tonka Log Transfer Facility,Peterburg,"USDA Forest Service, R10 Tongass",11-May-15,,,,,,,,,
AKR06AA35,Rock Creek Mine_1,Nome,"Alaska Gold Company, LLC",5-May-15,,,,,,,,,
AKR06AA30,Anchorage Operations Center_2,Anchorage,"Guardian Flight, Inc.",4-May-15,,,,,,,,,
AKR06AA31,Fairbanks Operations Center,Fairbanks,"Guardian Flight, Inc.",4-May-15,,,,,,,,,
AKR06AA32,Pederson Point,Naknek,"North Pacific Seafoods, Inc.",4-May-15,,,,,,,,,
AKR06AA33,Red Salmon Cannery,Naknek,"North Pacific Seafoods, Inc.",4-May-15,,,,,,,,,
AKR06AA34,Togiak Fisheries Facility,Twin Hills,"North Pacific Seafoods, Inc.",4-May-15,,,,,,,,,
AKR06AA28,Drift River Terminal,Kenai,Cook Inlet Pipe Line Company,30-Apr-15,,,,,,,,,
AKR06AA23,"Kodiak Transfer, Inc. ",Kodiak,"Kodiak Transfer, Inc. ",23-Apr-15,,,,,,,,,
AKR06AA17,Seward Marine Industrial Center,Seward,City of Seward,9-Apr-15,,,,,,,,,
AKR06AA13,Captains Bay Tank Farm,Dutch Harbor,Petro Star Inc. dba North Pacific Fuel,2-Apr-15,,,,,,,,,
AKR06AA11,Alaska Logistics @ Seward Marine Industrial Complex,Seward,"Alaska Logistics, LLC",1-Apr-15,,,,,,,,,
AKR06AA12,Trident Basin Quarry,Kodiak,"Golden Alaska Excavation, LLC",1-Apr-15,,,,,,,,,
AKR06AA08,Raibow Fiberglass at Seward Marine Industrial Center,Seward,Raibow Fiberglass and Boat Repair,2-Feb-15,,,,,,,,,
