Permittee,Site Name,Site Address,MCD,County,FID,FIN,Permit,DNR Region,Status
Wieser Real Estate Partnership,Wieser Concrete Borrow Pit Expansion,2815 Riley Rd,LEWISTON - T,Columbia,111093070,50065,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Wilkinson Excavating LLC,Dean & Julie Pues Property,W6805 Pues Road,NAVARINO - T,Shawano,,47250,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
William Brunner,Brunner Gravel Pit,N6695 Settlement Dr,CHELSEA - T,Taylor,,63021,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
William Franzel,Franzel pit,61670 Hwy 63,MASON - V,Bayfield,,58977,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
William Holst,Hager City Pit,N1891 830th Street,TRENTON - T,Pierce,648000980,15610,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
William Kiersyn,William Kierstyn Pit,1433 Cty Rd J lot 11,ADAMS - T,Adams,,44950,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
William Peabody - Pit,William Peabody Pit,T28N R17W Sec6,PLEASANT VALLEY - T,St. Croix,656054850,21767,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Wimme Sand and Gravel Inc,WIMME SAND & GRAVEL INC,4641 Custer Road,STOCKTON - T,Portage,350000530,2873,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Wingra Stone Co,Wingra Stone Co Finks Quarry,"2584 Hwy 78, Mount Horeb, WI",BLUE MOUNDS - T,Dane,113020490,16968,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Wingra Stone Co,Kipley/ Bong Rd Quarry,Bong Rd,WESTPORT - T,Dane,113323980,9414,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Wingra Stone Co,Marty Pit,2832 N Nine Mound Rd,VERONA - T,Dane,113324090,9423,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Wingra Stone Co,Weiland Pit,7391 County Hwy PD,VERONA - T,Dane,113324200,18204,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Wingra Stone Co,Hale Quarry,Whitson Rd & Glaeser Rd,LINDEN - T,Iowa,,22271,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Wingra Stone Co,Hensen Quarry,Oak Park Rd,MEDINA - T,Dane,113021370,16966,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Wingra Stone Co,Wingra Stone Co Kampmeier Quarry,Marsh Rd,BLOOMING GROVE - T,Dane,113021590,16970,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Wingra Stone Co,Wingra Stone Co Statz Hanley Quarry,Stone Quarry Rd,BRISTOL - T,Dane,113021700,16969,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Wingra Stone Co,Wingra Stone Co Zander Quarry,Stagecoach Rd,CROSS PLAINS - T,Dane,113027530,16965,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Wingra Stone Co,Wingra Stone Co Schoepp Quarry,Hwy KP,CROSS PLAINS - T,Dane,113027640,16961,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Wingra Stone Co,Hawkinson Pit,Rutland Dunn Townline Rd,DUNN - T,Dane,113033030,16960,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Wingra Stone Co,Wingra Stone Co Hellenbrand Quarry,Lodi Springfield Rd,DANE - T,Dane,113039740,16931,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Wingra Stone Co Marquardt Quarry,Marquardt Quarry,2975 Kapec Road,FITCHBURG - C,Dane,113421550,22272,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Wingra Stone Co O'Neill Quarry,O'Neill Quarry,STH 78 South & STH 39,YORK - T,Green,,22270,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Winter Town,Haystack Pit,"T37N, R4W, Sec. 21",WINTER - T,Sawyer,,34798,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Winter Town,Lagoon Pit,CTH W & Lagoon Road,WINTER - T,Sawyer,,3109,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Winter Town,Bissel Grade Pit,"T37N, R5W, Sec. 27",WINTER - T,Sawyer,,34797,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Winter Town,Hwy 70 Pit,"T39N, R5W, Sec. 28",WINTER - T,Sawyer,,34799,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Winter Town,Tupper Creek Pit,"T37N, R5W, Sec. 8",WINTER - T,Sawyer,,34800,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Wirth Bros Excavating LLC,Giesler Pit,SW SW Sec 12 T31N R12W,-,Dunn,,59035,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Wisconsin Power and Light Company,Columbia Energy Center Clay Borrow Site,Golden Avenue,NEW HAVEN - T,Adams,,54571,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Wissota Sand & Gravel Co Richfield Pit,WISSOTA SAND & GRAVEL CO RICHFIELD PIT,2759 Scenic Rd.,RICHFIELD - T,Washington,267001020,3451,A046515 - Nonmetallic Mining Operations - Non-IS,SE,6 - PERMIT COVERAGE GRANTED
Wolf Construction,Cambridge Quarry,W 1/2 NE SEC 24 T9N R11E,ROCKDALE - V,Dane,113324750,22117,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Wolff Sand & Gravel LLC,Wolff Sand & Gravel LLC,"N7933 Hwy 89, Waterloo, WI 53594",WATERLOO - T,Jefferson,128063430,52893,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
"Wolosek Trucking, Exc, & Landscp - Pit",Wolosek Sand Pit,T20N R7E E1/2 of SE1/4 of Sec 4,LEOLA - T,Adams,701002830,21627,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Wood County Highway Department,Smith Pit Quarry,"NW1/4, Sec 1, T23N, R2E",CARY - T,Wood,772141920,35850,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Wood County Parks and Forestry Dept,Sand Pit,"CTH N - south side of Rd, east of 7292",ARPIN - T,Wood,772050510,21848,A046515 - Nonmetallic Mining Operations - Non-IS,WC,6 - PERMIT COVERAGE GRANTED
Wood Sewer & Excav - Wood Pit,Wood Pit,T22N R14E Sec8 NW NW,MUKWA - T,Waupaca,,25220,A046515 - Nonmetallic Mining Operations - Non-IS,NE,6 - PERMIT COVERAGE GRANTED
Worcester Town,Loop Road Pit,SW of NW T37N R1E S9,WORCESTER - T,Price,,40551,A046515 - Nonmetallic Mining Operations - Non-IS,NO,6 - PERMIT COVERAGE GRANTED
Yahara Materials,Frawley Quarry,PO Box 277,AKAN - T,Richland,153001420,19381,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Yahara Materials,Yahara Materials - Brown Pit II,"W7051 County Highway G Pardeeville, WI 53954",WYOCENA - T,Columbia,157094740,8194,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Yahara Materials Inc,Yahara Materials Inc Lanzendorf Pit,"W11848 CTH J, Lodi, WI",WEST POINT - T,Columbia,111098790,66861,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
Yahara Materials Inc,Krueger Quarry,Hwy 69/92 & Quarry Rd,MONTROSE - T,Dane,113037760,16932,A046515 - Nonmetallic Mining Operations - Non-IS,SC,6 - PERMIT COVERAGE GRANTED
